text
"Яблочный штрудель Ингредиенты: 2-3 яблока 100г лаваша 2 ст.л. сахара (можно заменить на сахзам) 1 ч.л. корицы 4 ст.л. сметаны Яблоки очищаем от шкурки и нарезаем мелкими кусочками. Отправляем на сковородку и добавляем подсластитель и корицу. Тушим под закрытой крышкой 5-7 минут. Лист лаваша смазываем сметаной (3 ст.л), сверху по всей полверности распределяем яблоки. Заворачиваем в рулет, его сверху слегка смазываем сметаной (1 ст.л) и посыпаем корицей. Ставим в разогретую до 180 градусов духовку на 20-30 минут. Приятного аппетита! Простые Рецепты | #десерт #перекус"
"Кабачковые кексы 🔥 😍 Ингредиенты: Кабачок - 450 г Мука - 300 г Разрыхлитель - 1 ч.л. Яйца - 2 шт Молоко - 260 мл Сыр - 100 г Шпинат - 30 г Соль - 0,5 ч.л. Сливочное масло - 40 г Приготовление на видео 👆 Умная кулинария | #овощи"
"😍 Бисквитный рулет Ингредиенты: Яйца 5 штук Сахар 100г. Мука 1 стакан Ванилин 1 ч.л. Любое варенье для начинки 400г 🔥 Приготовление: В миску добавляем яйца, сахар и ванилин, взбиваем массу миксером до бела. Добавляем муку и взбиваем еще пару минут. Затем тесто выливаем на пергамент, смазанный маслом. Разравниваем и выпекаем 10-15 минут при 180 градусах. Горячий корж кладем на полотенце и сразу снимаем пергамент. Сворачиваем в рулет и оставляем на пару минут. После разворачиваем, добавляем варенье, снова сворачиваем в рулет и посыпаем сахарной пудрой. Приятного аппетита! Простые Рецепты | #выпечка"
Сбалансированный рацион на день 🍃 Автор: @kseniia__pp ЗАВТРАК Блинчики на нутовой муке с куриным фаршем Зеленый смузи Высоконцентрированная Рецепт блинчиков: * мука нутовая ц/з 45г г * мука рисовая ц/з 60 г * яйцо куриное 1 шт * молоко 110 мл * вода 200 мл * соль Смешиваем все ингредиенты и выпекаем с использованием масла гхи. ПЕРЕКУС Запеканка с греческим йогуртом и ягодами Рецепт запеканки: • творог 2% 500г сметана 10% 200г •1 яйцо 3 шт •манная крупа 50г •подсластитель 15г •сода 1/2 ч.л •щепотка соли Смешиваем все ингредиенты в блендере и выпекаем при 180 градусах. ОБЕД Цельнозерновой булгур с форелью и тушеными овощами УЖИН Фитнес бургер с овощами и хумусом Рецепт бургера: •булочки из клетчатки •соус из греческого йогурта с песто •куриная котлета на пару •листья салата •томаты •моцарелла Булочки: •2 ст.л клетчатки •1 яйцо •кефир 50 мл •соль Все тщательно смешиваем и выливаем в пластиковый контейнер/ кружку и отправляем в микроволновку на 5 минут. Подаю с овощами ( сельдерей и морковь) и хумусом.
"Рецепт вкуснейшего кабачкового суфле с сыром 😋 Отличный вариант как для завтрака, так и для обеда и ужина 👍🏻 Ингредиенты ( на 2-3 порции): •Кабачок-1 шт (450 гр) •Яйцо-3 шт •Сыр-65 гр •Соль Готовим: Кабачок натереть на мелкой тёрке, посолить. Оставить на 10 минут и отжать лишнюю влагу. Белки отделить от желтков. Желтки добавить к кабачку. Натереть 35 гр сыра, добавить к кабачку. Белки взбить до пиков, аккуратно добавить к кабачку. Разложить по формам. Выпекать в разогретой до 180 градусов духовке 20-30 мин. В конце посыпаем оставшимся сыром и оставляем на пару минут в духовке) КБЖУ на 100 гр.: 90/6/5/4"
"Минтай запеченный с лимоном на ужин 🍃 на 100грамм - 58.14 ккал. Б/Ж/У - 12.24/0.78/0.77 🍃 Ингредиенты: Филе минтая 400 г Лимон 1 шт. Соль, перец, специи для рыбы по вкусу Приготовление: 1. Включите духовку нагреваться на 200 градусов. 2. Филе минтая промокните бумажным полотенцем. Оно должно быть сухим. 3. Приготовьте два больших листа фольги, каждый лист согните напополам. 4. Филе выложите в центр фольги. 5. Посыпьте рыбу специями, солью, перцем. 6. Лимон нарежьте кружочками и положите сверху. 7. Заверните плотно фольгу. Шов должен быть сверху. 8. Филе минтая в фольге выложите на противень. 9. Запекайте рыбу в разогретой до 200 градусов духовке в течение 20 минут. Приятного аппетита!"
"😍 Вкусные булочки с яблоком Ингредиенты: Слоеное тесто Яблоки Корица Сахар Яичный желток 🔥 Приготовление: 1. Разрезаем слоеное тесто на полоски, кладем нарезанные яблоко, сворачиваем. 2. Посыпаем корицей с сахаром и смазываем яичным желтком. Запекаем в духовке при 180 градусах 25 минут Приятного аппетита! Простые Рецепты | #выпечка"
"🍃 Лучшие кефирные коктейли для улучшения обмена веществ и укрепления иммунитета! 🍃 1. Со специями 200 мл кефира, молотого имбиря и молотой корицы и на кончике ножа, чуть больше красного перца. Разбавить 2 ст. ложками минеральной воды и размешать. 2. С медом Даже если вы не можете отказаться от выпечки, съешьте булочку в первой половине дня, запивая этим напитком. Смешайте по 1 ч. ложке молотого имбиря и меда с 2 ст. ложками кипяченой воды. Добавьте щепотку корицы и ломтик лимона. Разбавьте смесь 200 мл кефира. 3. С яблоками Этот чудо-напиток подходит для снижения аппетита и может заменить завтрак или ужин. 5 яблок среднего размера без кожуры измельчить на терке. Смешать с 300 мл нежирного кефира (взбейте в блендере или миксером). Добавьте корицу по вкусу и еще раз перемешайте. 4. Лечебный Если пить этот напиток 3 раза за день по одному бокалу и не есть жирную и высококалорийную пищу, а также заниматься спортом, то за неделю вы сможете скинуть от 2 до 4 кг лишнего веса. Коктейль благоприятен для микрофлоры кишечника. Возьмите 0,5 л кефира, добавьте 1 ч. ложку имбиря, немного меда и щепотку корицы. Оставьте настаиваться 10 мин. Затем все взбейте в блендере. 5. Жиросжигающий В течение 10 дней выпивайте утром натощак и вечером кефир с петрушкой. В эти дни диетологи советуют придерживаться овощной диеты и пить много жидкости (вода, зеленый чай). В бокал с кефиром всыпьте 1 ст. ложку измельченной петрушки и щепотку молотой корицы. Дайте настояться не менее часа. 6. Кефирный коктейль с облепихой 200 г ягод облепихи 250 мл кефира 1-1,5 ст. л. липового меда В блендере перемешайте ягоды облепихи, хорошо процедите через мелкое сито, добавьте мед по вкусу и аккуратно перемешайте. Отдельно взбейте миксером кефир, добавьте облепиховый сок и снова хорошо перемешайте коктейль. Разлейте по бокалам и сразу же подавайте. Украшать можно мятой, ореховой стружкой, ягодами или корицей."
"Суп сыром и зеленым горошком 🍃 на 100грамм - 110.82 ккал. Б/Ж/У - 8.33/4.29/10.11 🍃 Ингредиенты: на 2,5 л. воды 2 куриных окорочка 3-4 средние картошки 1 морковка 400 гр. замороженного горошка 100 гр. замороженной кукурузы 2 плавленых сырка приправа 3-4 горошины душистого перца Приготовление: 1. Заранее кладём в морозилку сырки, чтобы их можно было потом натереть на тёрке. 2. Отвариваем до готовности окорочка, вынимаем их, остужаем и отделяем мясо от костей. 3. В бульон кладём порезанную брусочками картошку и натёртую на средней тёрке морковь. Варим 10 минут. 4. Добавляем натёртые сырки, хорошенько размешиваем. 5. Добавляем горох, кукурузу, перец, приправу. Если нужно, подсаливаем. Варим до готовности картошки. 6. За несколько минут до готовности, добавляем куриное мясо. Приятного аппетита!"
"Потрясающая закуска из баклажанов 🍆 с пикантным вкусом по поводу и без ⭐️ Рулетики из баклажанов с сыром и яйцом Старайтесь выбирать длинные и ровные баклажанчики. ИНГРЕДИЕНТЫ: Баклажаны - 2-3 шт. Яйца вареные - 2-3 шт. Сыр - 150 г Чеснок - 2 зубка Укроп - 15 г Майонез - 60 г Соль - по вкусу Масло растительное - для жарки 📝 ПРИГОТОВЛЕНИЕ: 1. Нарежьте баклажаны на полоски и посолите. Спустя 15-20 минут промойте баклажаны и обжарьте с двух сторон на сковороде с маслом. Можно также запечь в духовке, так масла уйдёт меньше. Пожаренные баклажаны положите на бумажное полотенце. 2. Для начинки соедините тёртые варёные яйца, тёртый сыр, измельчённый чеснок, майонез и нарубленную зелень. Перемешайте. 3. Выложите часть начинки на самый широкий край полоски и сверните в рулет. Для надёжности можете зафиксировать декоративными шпажками. iamcook.ru/showrecipe/26371 Приятного аппетита! Спасибо за 👍 🔥 ❤️ 🎉 и репосты 😘"
